type,entry_date,entry_price,shares,exit_price,exit_date,profit,status
short,2023-03-15 00:00:00+00:00,388.89072,49.47968952773514,412.87246,2023-04-14 00:00:00+00:00,-1186.609049534867,closed
long,2023-04-14 00:00:00+00:00,412.87246,54.9445859373261,442.31723999999997,2023-08-28 00:00:00+00:00,1617.8312451156598,closed
short,2023-08-28 00:00:00+00:00,442.31723999999997,60.741733021912125,454.71425999999997,2023-11-20 00:00:00+00:00,-753.0164791073049,closed
long,2023-11-20 00:00:00+00:00,454.71425999999997,47.54439442627305,502.98651,2024-04-25 00:00:00+00:00,2295.0748938436614,closed
short,2024-04-25 00:00:00+00:00,502.98651,52.27851122282236,530.59006,2024-05-20 00:00:00+00:00,-1443.0724984647372,closed
long,2024-05-20 00:00:00+00:00,530.59006,54.57346337985134,532.45701,2024-08-09 00:00:00+00:00,101.88592745701206,closed
short,2024-08-09 00:00:00+00:00,532.45701,28.163329203146404,552.6320800000001,2024-09-03 00:00:00+00:00,-568.1971381065263,closed
long,2024-09-03 00:00:00+00:00,552.6320800000001,36.40171996853111,580.8086099999999,2025-01-13 00:00:00+00:00,1025.6741547449103,closed
short,2025-01-13 00:00:00+00:00,580.8086099999999,34.33527672883801,601.37077,2025-02-07 00:00:00+00:00,-706.0074537426459,closed
long,2025-02-07 00:00:00+00:00,601.37077,39.33537209870695,575.34408,2025-03-07 00:00:00+00:00,-1023.7695356476963,closed
short,2025-03-07 00:00:00+00:00,575.34408,34.70555792268287,555.66,2025-03-28 00:00:00+00:00,683.1469785947232,closed
